"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 15 14:16:50 EEST 2024","Tue Oct 15 14:16:50 EEST 2024","820","Suite","Complete Test Suite","tests.SectionTests","tests.SectionTests","createSectionTest","createSectionTest",""
"passed","Tue Oct 15 14:16:44 EEST 2024","Tue Oct 15 14:16:48 EEST 2024","3839","Suite","Complete Test Suite","tests.ProjectTests","tests.ProjectTests","createProjectTest","createProjectTest",""
"passed","Tue Oct 15 14:17:03 EEST 2024","Tue Oct 15 14:17:04 EEST 2024","1252","Suite","Complete Test Suite","tests.LabelTests","tests.LabelTests","updateLabelTest","updateLabelTest",""
"passed","Tue Oct 15 14:16:52 EEST 2024","Tue Oct 15 14:16:52 EEST 2024","569","Suite","Complete Test Suite","tests.SectionTests","tests.SectionTests","getUpdatedSectionTest","getUpdatedSectionTest",""
"passed","Tue Oct 15 14:16:57 EEST 2024","Tue Oct 15 14:16:58 EEST 2024","867","Suite","Complete Test Suite","tests.CommentTests","tests.CommentTests","createCommentTest","createCommentTest",""
"passed","Tue Oct 15 14:16:54 EEST 2024","Tue Oct 15 14:16:54 EEST 2024","546","Suite","Complete Test Suite","tests.TaskTests","tests.TaskTests","updateTaskTest","updateTaskTest",""
"passed","Tue Oct 15 14:17:13 EEST 2024","Tue Oct 15 14:17:18 EEST 2024","4435","Suite","Complete Test Suite","tests.DeleteTests","tests.DeleteTests","deleteProjectTest","deleteProjectTest",""
"passed","Tue Oct 15 14:16:56 EEST 2024","Tue Oct 15 14:16:57 EEST 2024","987","Suite","Complete Test Suite","tests.TaskTests","tests.TaskTests","reopenTaskTest","reopenTaskTest",""
"passed","Tue Oct 15 14:16:54 EEST 2024","Tue Oct 15 14:16:55 EEST 2024","808","Suite","Complete Test Suite","tests.TaskTests","tests.TaskTests","getUpdatedTaskTest","getUpdatedTaskTest",""
"passed","Tue Oct 15 14:16:51 EEST 2024","Tue Oct 15 14:16:52 EEST 2024","636","Suite","Complete Test Suite","tests.SectionTests","tests.SectionTests","updateSectionTest","updateSectionTest",""
"passed","Tue Oct 15 14:16:55 EEST 2024","Tue Oct 15 14:16:56 EEST 2024","1000","Suite","Complete Test Suite","tests.TaskTests","tests.TaskTests","closeTaskTest","closeTaskTest",""
"passed","Tue Oct 15 14:17:05 EEST 2024","Tue Oct 15 14:17:06 EEST 2024","1048","Suite","Complete Test Suite","tests.DeleteTests","tests.DeleteTests","deleteLabelTest","deleteLabelTest",""
"passed","Tue Oct 15 14:16:53 EEST 2024","Tue Oct 15 14:16:54 EEST 2024","439","Suite","Complete Test Suite","tests.TaskTests","tests.TaskTests","getTaskTest","getTaskTest",""
"passed","Tue Oct 15 14:17:00 EEST 2024","Tue Oct 15 14:17:01 EEST 2024","754","Suite","Complete Test Suite","tests.LabelTests","tests.LabelTests","createLabelTest","createLabelTest",""
"passed","Tue Oct 15 14:17:06 EEST 2024","Tue Oct 15 14:17:07 EEST 2024","1194","Suite","Complete Test Suite","tests.DeleteTests","tests.DeleteTests","deleteCommentTest","deleteCommentTest",""
"passed","Tue Oct 15 14:16:59 EEST 2024","Tue Oct 15 14:17:00 EEST 2024","959","Suite","Complete Test Suite","tests.CommentTests","tests.CommentTests","updateCommentTest","updateCommentTest",""
"passed","Tue Oct 15 14:17:04 EEST 2024","Tue Oct 15 14:17:05 EEST 2024","987","Suite","Complete Test Suite","tests.LabelTests","tests.LabelTests","getUpdatedLabelTest","getUpdatedLabelTest",""
"passed","Tue Oct 15 14:16:48 EEST 2024","Tue Oct 15 14:16:48 EEST 2024","424","Suite","Complete Test Suite","tests.ProjectTests","tests.ProjectTests","getProjectTest","getProjectTest",""
"passed","Tue Oct 15 14:17:07 EEST 2024","Tue Oct 15 14:17:09 EEST 2024","1812","Suite","Complete Test Suite","tests.DeleteTests","tests.DeleteTests","deleteTaskTest","deleteTaskTest",""
"passed","Tue Oct 15 14:16:52 EEST 2024","Tue Oct 15 14:16:53 EEST 2024","976","Suite","Complete Test Suite","tests.TaskTests","tests.TaskTests","createTaskTest","createTaskTest",""
"passed","Tue Oct 15 14:16:49 EEST 2024","Tue Oct 15 14:16:50 EEST 2024","406","Suite","Complete Test Suite","tests.ProjectTests","tests.ProjectTests","getAfterProjectUpdateTest","getAfterProjectUpdateTest",""
"passed","Tue Oct 15 14:16:58 EEST 2024","Tue Oct 15 14:16:59 EEST 2024","626","Suite","Complete Test Suite","tests.CommentTests","tests.CommentTests","getCommentTest","getCommentTest",""
"passed","Tue Oct 15 14:17:09 EEST 2024","Tue Oct 15 14:17:13 EEST 2024","4279","Suite","Complete Test Suite","tests.DeleteTests","tests.DeleteTests","deleteSectionTest","deleteSectionTest",""
"passed","Tue Oct 15 14:17:00 EEST 2024","Tue Oct 15 14:17:00 EEST 2024","761","Suite","Complete Test Suite","tests.CommentTests","tests.CommentTests","getUpdatedCommentTest","getUpdatedCommentTest",""
"passed","Tue Oct 15 14:16:48 EEST 2024","Tue Oct 15 14:16:49 EEST 2024","733","Suite","Complete Test Suite","tests.ProjectTests","tests.ProjectTests","updateProjectTest","updateProjectTest",""
"passed","Tue Oct 15 14:16:50 EEST 2024","Tue Oct 15 14:16:51 EEST 2024","607","Suite","Complete Test Suite","tests.SectionTests","tests.SectionTests","getSectionTest","getSectionTest",""
"passed","Tue Oct 15 14:17:01 EEST 2024","Tue Oct 15 14:17:03 EEST 2024","1457","Suite","Complete Test Suite","tests.LabelTests","tests.LabelTests","getLabelTest","getLabelTest",""
